fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005,taxa_util
QPU_IBM,sha256_1024_para_256,19,2304,1142,1162,0.4956597222222222,0.5043402777777778,0.00434027777777779,0.4839345278586085,0.5247315786989104,0.9999456443067095,0.9875306480377835,-0.046539885297721795,1206,0.026925413314955064,False,0.2304
QPU_IBM,von_neumann,20,2439,1229,1210,0.5038950389503895,0.4961049610496105,0.0038950389503895066,0.47628407288413643,0.5159380994015867,0.9999562243566722,0.9888048424235224,0.01306574159753275,1204,0.5058060311482026,True,0.2439
QPU_IBM,sha256_1024_para_256,20,2304,1125,1179,0.48828125,0.51171875,0.01171875,0.4913055454072671,0.5320929422980339,0.9996037156868482,0.9665769984625497,0.0285780041501604,1119,0.16411445261141416,True,0.2304
QPU_IBM,von_neumann,21,2527,1250,1277,0.4946576968737634,0.5053423031262366,0.005342303126236625,0.48585545377157546,0.5248129347621658,0.9999176488152974,0.9846671392420513,0.01810658307210046,1241,0.35262167970435665,True,0.2527
QPU_IBM,sha256_1024_para_256,21,2304,1132,1172,0.4913194444444444,0.5086805555555556,0.00868055555555558,0.48826988320859793,0.5290623299064398,0.9997825690340808,0.9751681470200644,-0.011175890133169285,1165,0.6067385360200487,True,0.2304
QPU_IBM,von_neumann,22,2479,1245,1234,0.5022186365469947,0.4977813634530052,0.002218636546994779,0.47811774114336475,0.5174518511232215,0.9999857970589254,0.9936125291312791,-0.004862254049548115,1246,0.8243455279969824,True,0.2479
QPU_IBM,sha256_1024_para_256,22,2304,1120,1184,0.4861111111111111,0.5138888888888888,0.01388888888888884,0.49347433628374765,0.5342572047003128,0.999443333090299,0.9604716358133627,-0.00033813158158833286,1152,0.9963024466919063,True,0.2304
QPU_IBM,von_neumann,23,2529,1299,1230,0.5136417556346382,0.4863582443653618,0.013641755634638209,0.4669140137307268,0.5058438548047453,0.9994629694902379,0.9611656062153573,0.020631310075468385,1238,0.2904036643155574,True,0.2529
QPU_IBM,sha256_1024_para_256,23,2304,1158,1146,0.5026041666666666,0.4973958333333333,0.002604166666666685,0.47700115153768746,0.5177991845278014,0.9999804321076993,0.9925054634530759,0.002144178062584027,1150,0.9015305311162426,True,0.2304
QPU_IBM,von_neumann,24,2441,1200,1241,0.4916018025399426,0.5083981974600573,0.008398197460057322,0.4885682910127163,0.5282017125603483,0.9997964846738905,0.9759691796507973,0.018575524731774196,1198,0.34834175622864005,True,0.2441
QPU_IBM,sha256_1024_para_256,24,2304,1172,1132,0.5086805555555556,0.4913194444444444,0.00868055555555558,0.4709376700935602,0.511730116791402,0.9997825690340808,0.9751681470200644,-0.011175890133169103,1165,0.6067385360200487,True,0.2304
QPU_IBM,von_neumann,25,2433,1238,1195,0.5088368269625976,0.49116317303740237,0.008836826962597633,0.47132819056288966,0.511026016419123,0.9997746695686585,0.9747250057241647,-0.02171601139786183,1243,0.29376404730047634,True,0.2433
QPU_IBM,sha256_1024_para_256,25,2304,1130,1174,0.4904513888888889,0.5095486111111112,0.00954861111111116,0.48913713849085716,0.5299282959356846,0.9997369057552106,0.9727083083322601,-0.02946808222105734,1186,0.16352407950269895,True,0.2304
QPU_IBM,von_neumann,26,2500,1234,1266,0.4936,0.5064,0.006399999999999961,0.48680718399258066,0.5259731779138285,0.9998818111947847,0.9816506901211082,0.026660943876080426,1217,0.17627930028128463,True,0.25
QPU_IBM,sha256_1024_para_256,26,2304,1150,1154,0.4991319444444444,0.5008680555555556,0.0008680555555555802,0.4804673486276751,0.5212658726838287,0.9999978257984821,0.9974974927968298,0.012589483147166191,1138,0.5319757087836497,True,0.2304
QPU_IBM,von_neumann,27,2543,1289,1254,0.5068816358631537,0.49311836413684623,0.006881635863153768,0.4737120150804754,0.5125454726485775,0.9998633525210442,0.9802791983284554,0.006105993030660209,1264,0.7431481490748975,True,0.2543
QPU_IBM,sha256_1024_para_256,27,2304,1160,1144,0.5034722222222222,0.4965277777777778,0.00347222222222221,0.4761347557257523,0.5169323590282328,0.9999652125135791,0.9900159114273779,-0.009173530032883936,1163,0.6751483891698296,True,0.2304
QPU_IBM,von_neumann,28,2495,1272,1223,0.5098196392785571,0.4901803607214429,0.009819639278557113,0.47059504882111325,0.5097958640048948,0.9997217574628217,0.9719411449402675,0.01084528294981269,1234,0.5743583340956557,True,0.2495
QPU_IBM,sha256_1024_para_256,28,2304,1152,1152,0.5,0.5,0.0,0.4796007072805035,0.5203992927194965,1.0,1.0,-0.019539923013804382,1175,0.35921299483015956,True,0.2304
QPU_IBM,von_neumann,29,2499,1283,1216,0.513405362144858,0.48659463785514206,0.013405362144857935,0.46703373262451137,0.5061966932325185,0.9994814224902802,0.9618297309970212,0.015304592375550154,1230,0.43248172895481374,True,0.2499
QPU_IBM,sha256_1024_para_256,29,2304,1155,1149,0.5013020833333334,0.4986979166666667,0.0013020833333333148,0.47830086035263497,0.5190993076801095,0.9999951080435128,0.9962478651388924,-0.01259704392184886,1167,0.5593618940816601,True,0.2304
QPU_IBM,von_neumann,30,2479,1255,1224,0.5062525211778943,0.4937474788221057,0.006252521177894321,0.47409143985425695,0.5134228656243038,0.9998871955592255,0.9820709072485878,-0.013869343590705683,1257,0.5023378990667978,True,0.2479
QPU_IBM,sha256_1024_para_256,30,2304,1166,1138,0.5060763888888888,0.4939236111111111,0.006076388888888895,0.4735359366241123,0.5143315141953614,0.9998934615566053,0.9825729282418161,-0.018821713800572067,1174,0.3775545507476358,True,0.2304
